# Generated by gen_wbdata.py -- do not edit by hand.
# UCD 16.0.0 (uniseg)
#
# W;<lo>;<hi>;<class>   Word_Break (non-Other only)
W;FE76;FEFC;ALETTER
W;FEFF;FEFF;FORMAT
W;FF07;FF07;MIDNUMLET
W;FF0C;FF0C;MIDNUM
W;FF0E;FF0E;MIDNUMLET
W;FF10;FF19;NUMERIC
W;FF1A;FF1A;MIDLETTER
W;FF1B;FF1B;MIDNUM
W;FF21;FF3A;ALETTER
W;FF3F;FF3F;EXTENDNUMLET
W;FF41;FF5A;ALETTER
W;FF66;FF9D;KATAKANA
W;FF9E;FF9F;EXTEND
W;FFA0;FFBE;ALETTER
W;FFC2;FFC7;ALETTER
W;FFCA;FFCF;ALETTER
W;FFD2;FFD7;ALETTER
W;FFDA;FFDC;ALETTER
W;FFF9;FFFB;FORMAT
W;10000;1000B;ALETTER
W;1000D;10026;ALETTER
W;10028;1003A;ALETTER
W;1003C;1003D;ALETTER
W;1003F;1004D;ALETTER
W;10050;1005D;ALETTER
W;10080;100FA;ALETTER
W;10140;10174;ALETTER
W;101FD;101FD;EXTEND
W;10280;1029C;ALETTER
W;102A0;102D0;ALETTER
W;102E0;102E0;EXTEND
W;10300;1031F;ALETTER
W;1032D;1034A;ALETTER
W;10350;10375;ALETTER
W;10376;1037A;EXTEND
W;10380;1039D;ALETTER
W;103A0;103C3;ALETTER
W;103C8;103CF;ALETTER
W;103D1;103D5;ALETTER
W;10400;1049D;ALETTER
W;104A0;104A9;NUMERIC
W;104B0;104D3;ALETTER
W;104D8;104FB;ALETTER
W;10500;10527;ALETTER
W;10530;10563;ALETTER
W;10570;1057A;ALETTER
W;1057C;1058A;ALETTER
W;1058C;10592;ALETTER
W;10594;10595;ALETTER
W;10597;105A1;ALETTER
W;105A3;105B1;ALETTER
W;105B3;105B9;ALETTER
W;105BB;105BC;ALETTER
W;105C0;105F3;ALETTER
W;10600;10736;ALETTER
W;10740;10755;ALETTER
W;10760;10767;ALETTER
W;10780;10785;ALETTER
W;10787;107B0;ALETTER
W;107B2;107BA;ALETTER
W;10800;10805;ALETTER
W;10808;10808;ALETTER
W;1080A;10835;ALETTER
W;10837;10838;ALETTER
W;1083C;1083C;ALETTER
W;1083F;10855;ALETTER
W;10860;10876;ALETTER
W;10880;1089E;ALETTER
W;108E0;108F2;ALETTER
W;108F4;108F5;ALETTER
W;10900;10915;ALETTER
W;10920;10939;ALETTER
W;10980;109B7;ALETTER
W;109BE;109BF;ALETTER
W;10A00;10A00;ALETTER
W;10A01;10A03;EXTEND
W;10A05;10A06;EXTEND
W;10A0C;10A0F;EXTEND
W;10A10;10A13;ALETTER
W;10A15;10A17;ALETTER
W;10A19;10A35;ALETTER
