# Generated by gen_gcbdata.py -- do not edit by hand.
# UCD 16.0.0 (uniseg)
#
# G;<lo>;<hi>;<class>   Grapheme_Cluster_Break (non-Other only)
# E;<lo>;<hi>           Extended_Pictographic
G;AC8C;AC8C;LV
G;AC8D;ACA7;LVT
G;ACA8;ACA8;LV
G;ACA9;ACC3;LVT
G;ACC4;ACC4;LV
G;ACC5;ACDF;LVT
G;ACE0;ACE0;LV
G;ACE1;ACFB;LVT
G;ACFC;ACFC;LV
G;ACFD;AD17;LVT
G;AD18;AD18;LV
G;AD19;AD33;LVT
G;AD34;AD34;LV
G;AD35;AD4F;LVT
G;AD50;AD50;LV
G;AD51;AD6B;LVT
G;AD6C;AD6C;LV
G;AD6D;AD87;LVT
G;AD88;AD88;LV
G;AD89;ADA3;LVT
G;ADA4;ADA4;LV
G;ADA5;ADBF;LVT
G;ADC0;ADC0;LV
G;ADC1;ADDB;LVT
G;ADDC;ADDC;LV
G;ADDD;ADF7;LVT
G;ADF8;ADF8;LV
G;ADF9;AE13;LVT
G;AE14;AE14;LV
G;AE15;AE2F;LVT
G;AE30;AE30;LV
G;AE31;AE4B;LVT
G;AE4C;AE4C;LV
G;AE4D;AE67;LVT
G;AE68;AE68;LV
G;AE69;AE83;LVT
G;AE84;AE84;LV
G;AE85;AE9F;LVT
G;AEA0;AEA0;LV
G;AEA1;AEBB;LVT
G;AEBC;AEBC;LV
G;AEBD;AED7;LVT
G;AED8;AED8;LV
G;AED9;AEF3;LVT
G;AEF4;AEF4;LV
G;AEF5;AF0F;LVT
G;AF10;AF10;LV
G;AF11;AF2B;LVT
G;AF2C;AF2C;LV
G;AF2D;AF47;LVT
G;AF48;AF48;LV
G;AF49;AF63;LVT
G;AF64;AF64;LV
G;AF65;AF7F;LVT
G;AF80;AF80;LV
G;AF81;AF9B;LVT
G;AF9C;AF9C;LV
G;AF9D;AFB7;LVT
G;AFB8;AFB8;LV
G;AFB9;AFD3;LVT
G;AFD4;AFD4;LV
G;AFD5;AFEF;LVT
G;AFF0;AFF0;LV
G;AFF1;B00B;LVT
G;B00C;B00C;LV
G;B00D;B027;LVT
G;B028;B028;LV
G;B029;B043;LVT
G;B044;B044;LV
G;B045;B05F;LVT
G;B060;B060;LV
G;B061;B07B;LVT
G;B07C;B07C;LV
G;B07D;B097;LVT
G;B098;B098;LV
G;B099;B0B3;LVT
G;B0B4;B0B4;LV
G;B0B5;B0CF;LVT
G;B0D0;B0D0;LV
G;B0D1;B0EB;LVT
G;B0EC;B0EC;LV
G;B0ED;B107;LVT
G;B108;B108;LV
G;B109;B123;LVT
G;B124;B124;LV
G;B125;B13F;LVT
G;B140;B140;LV
G;B141;B15B;LVT
G;B15C;B15C;LV
G;B15D;B177;LVT
G;B178;B178;LV
G;B179;B193;LVT
G;B194;B194;LV
G;B195;B1AF;LVT
G;B1B0;B1B0;LV
G;B1B1;B1CB;LVT
G;B1CC;B1CC;LV
G;B1CD;B1E7;LVT
G;B1E8;B1E8;LV
G;B1E9;B203;LVT
G;B204;B204;LV
G;B205;B21F;LVT
G;B220;B220;LV
G;B221;B23B;LVT
G;B23C;B23C;LV
G;B23D;B257;LVT
G;B258;B258;LV
G;B259;B273;LVT
G;B274;B274;LV
G;B275;B28F;LVT
G;B290;B290;LV
G;B291;B2AB;LVT
G;B2AC;B2AC;LV
G;B2AD;B2C7;LVT
G;B2C8;B2C8;LV
G;B2C9;B2E3;LVT
G;B2E4;B2E4;LV
G;B2E5;B2FF;LVT
G;B300;B300;LV
G;B301;B31B;LVT
G;B31C;B31C;LV
G;B31D;B337;LVT
G;B338;B338;LV
G;B339;B353;LVT
G;B354;B354;LV
G;B355;B36F;LVT
G;B370;B370;LV
G;B371;B38B;LVT
G;B38C;B38C;LV
G;B38D;B3A7;LVT
G;B3A8;B3A8;LV
G;B3A9;B3C3;LVT
G;B3C4;B3C4;LV
G;B3C5;B3DF;LVT
G;B3E0;B3E0;LV
G;B3E1;B3FB;LVT
G;B3FC;B3FC;LV
G;B3FD;B417;LVT
G;B418;B418;LV
G;B419;B433;LVT
G;B434;B434;LV
G;B435;B44F;LVT
G;B450;B450;LV
G;B451;B46B;LVT
G;B46C;B46C;LV
G;B46D;B487;LVT
G;B488;B488;LV
G;B489;B4A3;LVT
G;B4A4;B4A4;LV
G;B4A5;B4BF;LVT
G;B4C0;B4C0;LV
G;B4C1;B4DB;LVT
G;B4DC;B4DC;LV
G;B4DD;B4F7;LVT
G;B4F8;B4F8;LV
G;B4F9;B513;LVT
G;B514;B514;LV
G;B515;B52F;LVT
G;B530;B530;LV
G;B531;B54B;LVT
G;B54C;B54C;LV
G;B54D;B567;LVT
G;B568;B568;LV
G;B569;B583;LVT
G;B584;B584;LV
G;B585;B59F;LVT
G;B5A0;B5A0;LV
G;B5A1;B5BB;LVT
G;B5BC;B5BC;LV
G;B5BD;B5D7;LVT
G;B5D8;B5D8;LV
G;B5D9;B5F3;LVT
G;B5F4;B5F4;LV
G;B5F5;B60F;LVT
G;B610;B610;LV
G;B611;B62B;LVT
G;B62C;B62C;LV
G;B62D;B647;LVT
G;B648;B648;LV
G;B649;B663;LVT
G;B664;B664;LV
G;B665;B67F;LVT
G;B680;B680;LV
G;B681;B69B;LVT
G;B69C;B69C;LV
G;B69D;B6B7;LVT
G;B6B8;B6B8;LV
G;B6B9;B6D3;LVT
G;B6D4;B6D4;LV
G;B6D5;B6EF;LVT
G;B6F0;B6F0;LV
G;B6F1;B70B;LVT
G;B70C;B70C;LV
G;B70D;B727;LVT
G;B728;B728;LV
G;B729;B743;LVT
G;B744;B744;LV
G;B745;B75F;LVT
G;B760;B760;LV
G;B761;B77B;LVT
G;B77C;B77C;LV
G;B77D;B797;LVT
G;B798;B798;LV
G;B799;B7B3;LVT
G;B7B4;B7B4;LV
G;B7B5;B7CF;LVT
G;B7D0;B7D0;LV
G;B7D1;B7EB;LVT
G;B7EC;B7EC;LV
G;B7ED;B807;LVT
G;B808;B808;LV
G;B809;B823;LVT
G;B824;B824;LV
G;B825;B83F;LVT
G;B840;B840;LV
G;B841;B85B;LVT
G;B85C;B85C;LV
G;B85D;B877;LVT
G;B878;B878;LV
G;B879;B893;LVT
G;B894;B894;LV
G;B895;B8AF;LVT
G;B8B0;B8B0;LV
G;B8B1;B8CB;LVT
G;B8CC;B8CC;LV
G;B8CD;B8E7;LVT
G;B8E8;B8E8;LV
G;B8E9;B903;LVT
G;B904;B904;LV
G;B905;B91F;LVT
G;B920;B920;LV
G;B921;B93B;LVT
G;B93C;B93C;LV
G;B93D;B957;LVT
G;B958;B958;LV
G;B959;B973;LVT
G;B974;B974;LV
G;B975;B98F;LVT
G;B990;B990;LV
G;B991;B9AB;LVT
G;B9AC;B9AC;LV
G;B9AD;B9C7;LVT
G;B9C8;B9C8;LV
G;B9C9;B9E3;LVT
G;B9E4;B9E4;LV
G;B9E5;B9FF;LVT
G;BA00;BA00;LV
G;BA01;BA1B;LVT
G;BA1C;BA1C;LV
G;BA1D;BA37;LVT
G;BA38;BA38;LV
G;BA39;BA53;LVT
G;BA54;BA54;LV
G;BA55;BA6F;LVT
G;BA70;BA70;LV
G;BA71;BA8B;LVT
G;BA8C;BA8C;LV
G;BA8D;BAA7;LVT
G;BAA8;BAA8;LV
G;BAA9;BAC3;LVT
G;BAC4;BAC4;LV
G;BAC5;BADF;LVT
G;BAE0;BAE0;LV
G;BAE1;BAFB;LVT
G;BAFC;BAFC;LV
G;BAFD;BB17;LVT
G;BB18;BB18;LV
G;BB19;BB33;LVT
G;BB34;BB34;LV
G;BB35;BB4F;LVT
G;BB50;BB50;LV
G;BB51;BB6B;LVT
G;BB6C;BB6C;LV
G;BB6D;BB87;LVT
G;BB88;BB88;LV
G;BB89;BBA3;LVT
G;BBA4;BBA4;LV
G;BBA5;BBBF;LVT
G;BBC0;BBC0;LV
G;BBC1;BBDB;LVT
G;BBDC;BBDC;LV
G;BBDD;BBF7;LVT
G;BBF8;BBF8;LV
G;BBF9;BC13;LVT
G;BC14;BC14;LV
G;BC15;BC2F;LVT
G;BC30;BC30;LV
G;BC31;BC4B;LVT
G;BC4C;BC4C;LV
G;BC4D;BC67;LVT
G;BC68;BC68;LV
G;BC69;BC83;LVT
